organism_full,x_year,region,n_org
Enterococcus faecalis,2024,1.0,1885
Enterococcus faecalis,2024,2.0,1098
Enterococcus faecalis,2024,3.0,1055
Enterococcus faecalis,2024,4.0,1188
Enterococcus faecalis,2024,5.0,1537
Enterococcus faecalis,2024,6.0,33
Enterococcus faecalis,2024,7.0,1930
Enterococcus faecalis,2024,8.0,1346
Enterococcus faecalis,2024,9.0,2514
Enterococcus faecalis,2024,10.0,1481
Enterococcus faecalis,2024,11.0,1372
Enterococcus faecalis,2024,12.0,2017
Enterococcus faecalis,2024,13.0,1496
