organism_full,x_year,n_total,n_org,prevalence_%
Staphylococcus aureus,2015,132888,16131,12.139
Staphylococcus aureus,2016,182054,21630,11.881
Staphylococcus aureus,2017,280625,33307,11.869
Staphylococcus aureus,2018,286643,33431,11.663
Staphylococcus aureus,2019,326458,38917,11.921
Staphylococcus aureus,2020,290946,34551,11.875
Staphylococcus aureus,2021,302657,34424,11.374
Staphylococcus aureus,2022,226564,25766,11.373
Staphylococcus aureus,2023,298199,32333,10.843
Staphylococcus aureus,2024,274836,29041,10.567
