organism_full,x_year,Blood,Pus,Urine,other
Enterococcus faecalis,2015,7.914,5.27,51.713,35.102
Enterococcus faecalis,2016,7.512,5.876,52.938,33.675
Enterococcus faecalis,2017,8.233,6.293,51.354,34.12
Enterococcus faecalis,2018,7.775,6.041,52.297,33.886
Enterococcus faecalis,2019,7.709,9.635,66.161,16.495
Enterococcus faecalis,2020,7.853,9.222,65.075,17.85
Enterococcus faecalis,2021,8.403,8.89,65.119,17.588
Enterococcus faecalis,2022,8.474,9.915,62.306,19.304
Enterococcus faecalis,2023,7.34,8.774,63.444,20.441
Enterococcus faecalis,2024,7.293,7.437,63.942,21.328
