organism_full,x_year,Blood,Sputum,Urine,other
Escherichia coli,2015,20.851,9.632,45.273,24.244
Escherichia coli,2016,19.493,9.037,46.807,24.663
Escherichia coli,2017,19.617,8.319,47.699,24.365
Escherichia coli,2018,20.081,7.699,46.501,25.718
Escherichia coli,2019,20.146,7.551,52.354,19.948
Escherichia coli,2020,19.728,6.322,54.726,19.223
Escherichia coli,2021,19.17,7.474,53.168,20.188
Escherichia coli,2022,19.198,7.743,51.746,21.312
Escherichia coli,2023,18.31,7.172,52.79,21.728
Escherichia coli,2024,18.401,7.38,54.353,19.866
