organism_full,x_year,n_total_spec,Blood,Sputum,Urine,other
Acinetobacter baumannii,2015,17115,5.428,75.904,6.48,12.188
Acinetobacter baumannii,2016,24936,6.031,75.048,6.617,12.303
Acinetobacter baumannii,2017,31294,7.235,72.714,7.068,12.983
Acinetobacter baumannii,2018,36227,7.583,71.002,6.981,14.434
Acinetobacter baumannii,2019,51555,7.06,65.949,8.005,18.986
Acinetobacter baumannii,2020,42007,7.72,63.454,8.453,20.373
Acinetobacter baumannii,2021,49871,8.466,63.614,7.995,19.925
Acinetobacter baumannii,2022,39776,8.895,62.963,7.648,20.495
Acinetobacter baumannii,2023,49576,8.448,64.479,8.185,18.888
Acinetobacter baumannii,2024,44246,8.62,69.593,7.863,13.924
