organism_full,x_year,icu,in,out
Pseudomonas aeruginosa ,2015,10.462,80.07,7.585
Pseudomonas aeruginosa ,2016,13.218,72.929,10.614
Pseudomonas aeruginosa ,2017,12.129,73.385,9.219
Pseudomonas aeruginosa ,2018,18.939,63.338,12.85
Pseudomonas aeruginosa ,2019,17.512,68.103,10.87
Pseudomonas aeruginosa ,2020,15.269,67.773,11.474
Pseudomonas aeruginosa ,2021,16.672,67.241,11.3
Pseudomonas aeruginosa ,2022,16.65,64.711,13.021
Pseudomonas aeruginosa ,2023,17.716,64.197,13.79
Pseudomonas aeruginosa ,2024,16.449,63.882,14.136
